Complexity,Loss,Equation
1,14.317969,"6.5071807"
3,0.025169352,"x0 * 0.005860995"
5,0.025091657,"-0.017582633 - (x0 * -0.0058728694)"
7,0.023513682,"(0.005983671 - (x0 * 7.348909e-8)) * x0"
8,0.021361671,"(exp(x0 ^ 0.2248356) - x0) * -0.0066692643"
9,0.020116257,"-0.1741879 - ((-0.006296971 - (x0 * -1.9080673e-7)) * x0)"
10,0.018921552,"(exp((x0 ^ 0.21903247) + 1.0028718) - x0) * -0.007970628"
12,0.018430725,"(exp((x0 ^ 0.21570668) + 1.3338953) - (x0 - -10.501171)) * -0.00860669"
14,0.018340614,"(exp((x0 ^ 0.21514118) + 1.3338969) - ((x0 * 0.89699066) - -10.764459)) * -0.010019677"
15,0.015926098,"0.8820382 - ((0.92054474 ^ (0.9485182 ^ (2.2456932 - (x0 * 0.054565445)))) + (x0 * -0.005359062))"
17,0.015781214,"1.0436399 - (((0.9688967 ^ (10.951208 - (x0 * 0.038310286))) ^ (x0 * -0.001137149)) + (x0 * -0.0052899155))"
19,0.015673427,"1.0436399 - ((((0.9688967 ^ (10.951208 - (x0 * 0.038310286))) ^ (x0 * -0.031072594)) ^ 0.03659653) + (-0.0052899155 * x0))"
21,0.015670255,"1.0436399 - ((((0.9688967 ^ (10.951208 - (x0 * 0.038310286))) ^ (0.22549951 + (x0 * -0.031072594))) ^ 0.03659653) + (-0.0052899155 * x0))"
23,0.015653538,"((x0 * 0.0052951635) + 1.0344291) - ((((0.9633962 ^ (0.7979506 - (x0 * 0.036497097))) * 0.72475916) ^ (1.7148161 - (x0 * 0.028095072))) ^ 0.037039977)"
25,0.015647164,"(x0 * 0.005296167) + (1.0308067 - ((((0.9647891 ^ (((1.0336987 - x0) + 0.12948352) * 0.036417436)) * 0.7230351) ^ (2.3927512 - (x0 * 0.029487334))) ^ 0.037757784))"
